"pref_code","pref_name","year","total_count","population","count_per_100k"
"17","石川県",2018,42045,1143000,3678.47769028871
"18","福井県",2018,25409,774000,3282.8165374677
"19","山梨県",2018,26491,817000,3242.47246022032
"20","長野県",2018,67321,2063000,3263.25739214736
"21","岐阜県",2018,71006,1997000,3555.63345017526
"22","静岡県",2018,142296,3659000,3888.93140202241
"23","愛知県",2018,227536,7537000,3018.91999469285
"24","三重県",2018,51242,1791000,2861.08319374651
"25","滋賀県",2018,46934,1412000,3323.93767705382
"26","京都府",2018,89855,2591000,3467.96603627943
"27","大阪府",2018,330938,8813000,3755.11176670827
"28","兵庫県",2018,174926,5484000,3189.75200583516
"29","奈良県",2018,53557,1339000,3999.77595220314
"30","和歌山県",2018,32562,935000,3482.56684491979
"31","鳥取県",2018,21159,560000,3778.39285714286
"32","島根県",2018,24395,680000,3587.5
"33","岡山県",2018,60020,1898000,3162.2760800843
"34","広島県",2018,109841,2817000,3899.21902733404
"35","山口県",2018,41319,1370000,3015.98540145985
"36","徳島県",2018,27778,736000,3774.1847826087
"37","香川県",2018,32239,962000,3351.2474012474
"38","愛媛県",2018,47825,1352000,3537.35207100592
"39","高知県",2018,20888,706000,2958.6402266289
"40","福岡県",2018,204116,5107000,3996.78872136284
"41","佐賀県",2018,21024,819000,2567.03296703297
"42","長崎県",2018,47563,1341000,3546.83072334079
"43","熊本県",2018,56552,1757000,3218.66818440524
"44","大分県",2018,42728,1144000,3734.96503496503
"45","宮崎県",2018,33639,1081000,3111.8408880666
"46","鹿児島県",2018,54147,1614000,3354.83271375465
"47","沖縄県",2018,45796,1448000,3162.70718232044
"01","北海道",2019,207492,5250000,3952.22857142857
"02","青森県",2019,61429,1246000,4930.0963081862
"03","岩手県",2019,51291,1227000,4180.195599022
"04","宮城県",2019,100169,2306000,4343.84215091067
"05","秋田県",2019,44922,966000,4650.31055900621
"06","山形県",2019,36468,1078000,3382.93135435993
"07","福島県",2019,63932,1846000,3463.27193932828
"08","茨城県",2019,95852,2860000,3351.46853146853
"09","栃木県",2019,72983,1934000,3773.68148914168
"10","群馬県",2019,72302,1942000,3723.06900102987
"11","埼玉県",2019,188710,7350000,2567.48299319728
"12","千葉県",2019,186188,6259000,2974.72439686851
"13","東京都",2019,548005,13921000,3936.53473170031
"14","神奈川県",2019,296815,9198000,3226.95151119809
"15","新潟県",2019,83255,2223000,3745.16419253261
"16","富山県",2019,39545,1044000,3787.83524904215
"17","石川県",2019,43314,1138000,3806.15114235501
"18","福井県",2019,27077,768000,3525.65104166667
"19","山梨県",2019,26694,811000,3291.49198520345
"20","長野県",2019,74375,2049000,3629.81942410932
"21","岐阜県",2019,70874,1987000,3566.88475088072
"22","静岡県",2019,145563,3644000,3994.59385290889
"23","愛知県",2019,224897,7552000,2977.97934322034
"24","三重県",2019,53106,1781000,2981.80797304885
"25","滋賀県",2019,46399,1414000,3281.40028288543
"26","京都府",2019,89897,2583000,3480.3329461866
"27","大阪府",2019,334803,8809000,3800.69247360654
"28","兵庫県",2019,175604,5466000,3212.66008049762
"29","奈良県",2019,57287,1330000,4307.29323308271
"30","和歌山県",2019,34337,925000,3712.10810810811
"31","鳥取県",2019,22442,556000,4036.3309352518
"32","島根県",2019,27302,674000,4050.74183976261
"33","岡山県",2019,60309,1890000,3190.95238095238
"34","広島県",2019,107996,2804000,3851.49786019971
"35","山口県",2019,39672,1358000,2921.35493372607
"36","徳島県",2019,30166,728000,4143.68131868132
"37","香川県",2019,33422,956000,3496.02510460251
"38","愛媛県",2019,52725,1339000,3937.64002987304
